Metric,K-Means,Hierarchical
Silhouette Score,0.7063194782459823,0.7061650536675814
Calinski-Harabasz Index,2334.5888929463163,2291.0336430592483
Davies-Bouldin Index,0.3527190559429139,0.3453051915166116
Adjusted Rand Index,0.11208582875692114,0.11420661235716952
Normalized Mutual Info,0.06988871471449809,0.07295832743278728
