feature,composite_score
cp,2.8068926087646915
thalach,1.9792258662469635
exang,1.921520044282549
oldpeak,1.9107707852924358
chol,1.7424793517190715
thal,1.5347663590654874
age,1.5042697576710224
sex,1.3967613179376084
ca,0.9160140454979474
trestbps,0.8065720637299019
fbs,0.6969275049860688
slope,0.6965835595615768
restecg,0.28310387319201624
