feature,chi2_score,chi2_pvalue,mutual_info
cp,19.503121424872003,0.0006257811892862873,0.09122117223373882
oldpeak,4.811686378815089,0.3071710108932558,0.08980789924505217
thalach,6.666471901268342,0.15459888499867003,0.08642083075897711
sex,14.099416078855302,0.006984427736974599,0.060478329290837074
chol,6.445613403927207,0.16824959800341835,0.05894189023853125
exang,79.22594940228001,2.5407882721225677e-16,0.05058791530104756
thal,55.6884996008585,2.330532732303866e-11,0.045976994611998556
slope,5.2032370897725695,0.26707247788642263,0.03736630069440805
age,6.51682197652559,0.1637335438619796,0.03161886210121967
fbs,19.370582761444627,0.000664534858963073,0.03140424931247443
trestbps,0.0926576947651294,0.9989593962982762,0.011920491189467697
restecg,10.743936746614569,0.02959766089307283,0.0
ca,39.86938665217775,4.606162903133057e-08,0.0
