,accuracy,precision,recall,f1_score,roc_auc,cv_mean,cv_std
Random Forest,0.5815217391304348,0.566080039031497,0.5815217391304348,0.569137423272584,0.8127443718976268,0.5530152601581173,0.016095330752410545
Logistic Regression,0.5706521739130435,0.5548461882592014,0.5706521739130435,0.5428509927651803,0.813662255912523,0.5611141753998896,0.03298004827074656
Support Vector Machine,0.592391304347826,0.5213084758706021,0.592391304347826,0.54228038804518,0.826161995925113,0.5638628424342711,0.0301555666953168
Decision Tree,0.5108695652173914,0.4974976976394746,0.5108695652173914,0.501350215625655,0.6589074239790285,0.5040724397867256,0.01496432616567509
